,match,level,r1,r2,r3,b1,b2,b3,red score,blue score,red rp,blue rp,video
0,1,f,5940,4698,1678,1671,8048,114,172,134,0,0,
1,1,qf,5940,4698,1678,3257,701,7528,148,40,0,0,
2,1,sf,5940,5430,1678,2551,1662,199,123,82,0,0,
3,1,qf,9973,5458,7419,2551,1662,199,45,85,0,0,
4,1,sf,1671,8048,114,6918,2135,5817,74,66,0,0,
5,1,qf,1671,8048,114,3189,841,2073,86,47,0,0,
6,1,qf,5700,2135,5817,1072,3859,5924,89,79,0,0,
7,1,qm,5274,6662,7419,5924,7528,6059,18,27,0,2,
8,2,sf,5940,5430,1678,2551,1662,6059,147,89,0,0,
9,2,qm,2288,8016,6918,4698,1671,5700,39,56,1,2,
10,2,sf,1671,8048,114,5817,5700,2135,106,71,0,0,
11,2,qf,5700,2135,5817,1072,3859,5924,81,72,0,0,
12,2,qf,5940,4698,1678,3257,701,7528,135,44,0,0,
13,2,f,5940,4698,1678,1671,8048,114,160,128,0,0,
14,2,qf,7419,5458,9973,2551,1662,199,59,86,0,0,
15,2,qf,1671,8048,114,3189,841,2073,91,36,0,0,
16,3,qm,2643,6884,3859,3189,4643,5430,36,12,2,0,
17,4,qm,1662,114,701,5817,3257,2073,76,45,3,0,
18,5,qm,9973,7777,2135,1678,5940,5458,39,122,1,4,
19,6,qm,1072,8048,841,3598,2551,199,30,33,0,2,
20,7,qm,7528,6884,2073,6918,4698,701,44,34,2,0,
21,8,qm,1671,6059,6662,1662,5458,5430,59,33,2,0,
22,9,qm,3189,5940,2135,4643,5274,1072,89,19,3,0,
23,10,qm,841,3257,7419,5924,3859,1678,35,61,0,3,
24,11,qm,3598,7777,5817,5700,2643,199,54,38,2,0,
25,12,qm,2288,8048,2551,9973,8016,114,47,85,0,3,
26,13,qm,6918,7419,5940,5458,701,3189,79,35,2,0,
27,14,qm,5700,3859,4643,6059,199,2073,33,43,0,2,
28,15,qm,6662,5430,4698,2551,841,114,10,77,0,2,
29,16,qm,5924,1671,2135,6884,8016,5817,74,50,2,0,
30,17,qm,5274,9973,1662,1072,1678,3598,55,93,1,3,
31,18,qm,2643,2288,7777,8048,7528,3257,21,23,0,2,
32,19,qm,6662,5940,4643,2135,701,2073,74,87,0,3,
33,20,qm,199,5924,841,114,3598,6918,56,52,2,0,
34,21,qm,5458,7777,5274,3859,9973,1671,24,42,0,2,
35,22,qm,6059,2288,4698,8048,5817,7419,30,47,0,2,
36,23,qm,3257,2643,1678,8016,1072,2551,99,62,4,0,
37,24,qm,3189,1662,6884,5430,7528,5700,26,24,2,0,
38,25,qm,5458,2135,114,1671,2288,841,120,69,4,0,
39,26,qm,5274,2073,8016,6918,5817,1678,43,141,0,5,
40,27,qm,7528,4698,2551,199,1662,3859,38,41,1,3,
41,28,qm,8048,5924,2643,701,5700,5940,32,95,0,3,
42,29,qm,3598,4643,7419,7777,5430,3257,35,26,3,0,
43,30,qm,6884,9973,6059,3189,1072,6662,20,40,0,2,
44,31,qm,5700,114,2288,5274,3859,5940,105,95,4,1,
45,32,qm,841,4698,5458,2643,7528,4643,68,22,3,0,
46,33,qm,1662,3257,3598,8048,2135,6884,57,41,3,0,
47,34,qm,1678,3189,9973,6662,5817,5924,96,25,4,0,
48,35,qm,6059,5430,2551,7777,6918,2073,38,40,0,2,
49,36,qm,1671,1072,199,701,7419,8016,66,39,2,0,
50,37,qm,5458,8048,3598,5274,4698,3189,35,18,2,0,
51,38,qm,1662,4643,1678,6884,2288,5924,107,22,3,0,
52,39,qm,5817,701,1072,7777,841,3859,91,50,3,0,
53,40,qm,8016,199,7528,9973,5940,5430,49,103,0,3,
54,41,qm,2551,2073,5700,2135,7419,6059,59,77,1,3,
55,42,qm,6918,2643,1671,6662,114,3257,74,107,1,4,
56,43,qm,199,701,5430,2288,1678,5274,28,105,0,4,
57,44,qm,5458,3859,6059,3598,5924,8016,62,21,3,0,
58,45,qm,841,2073,4643,1671,8048,3189,37,48,0,2,
59,46,qm,5817,7528,5940,3257,6884,2551,78,74,3,1,
60,47,qm,2135,1662,6918,7419,9973,2643,90,46,3,0,
61,48,qm,7777,5700,6662,1072,114,4698,18,94,0,3,
62,49,qm,3598,6884,701,5458,2288,5817,30,47,0,2,
63,50,qm,2643,2073,5430,2551,5924,5274,26,44,0,3,
64,51,qm,3257,3189,6059,199,2135,4698,45,32,2,0,
65,52,qm,5700,8048,1678,6918,3859,6662,113,22,5,0,
66,53,qm,8016,841,5940,7419,1662,7777,96,64,3,1,
67,54,qm,1072,9973,7528,4643,1671,114,18,81,0,3,
68,55,qm,3859,2135,5817,6918,5430,8048,83,16,3,0,
69,56,qm,7419,2288,199,2643,6662,1662,79,35,4,0,
70,57,qm,8016,4643,4698,5274,841,6884,26,52,0,2,
71,58,qm,3257,5700,1072,5458,9973,2073,43,51,0,2,
72,59,qm,5924,3189,114,701,2551,7777,56,51,2,0,
73,60,qm,1671,1678,7528,5940,6059,3598,146,85,5,1,
