,match,level,r1,r2,r3,b1,b2,b3,red score,blue score,red rp,blue rp,video
0,1,f,973,1323,5817,3970,5940,1266,149,134,0,0,https://www.youtube.com/watch/nibJmUM6SYs
1,1,qf,973,1323,5817,4010,6619,115,161,56,0,0,https://www.youtube.com/watch/tlB2xu-hTEw
2,1,sf,973,1323,5817,3255,2543,100,152,0,0,0,https://www.youtube.com/watch/k1YwP7qAoNc
3,1,qf,3512,5274,3598,3255,2543,100,81,83,0,0,https://www.youtube.com/watch/lTxZKHn97us
4,1,sf,3970,5940,1266,2073,1671,3189,131,39,0,0,https://www.youtube.com/watch/GoZZl03EXCk
5,1,qf,3970,5940,1266,2485,7539,4135,110,68,0,0,https://www.youtube.com/watch/JMTvHL2dEGE
6,1,qf,2073,1671,3189,253,3257,6657,73,44,0,0,https://www.youtube.com/watch/NlS9SBTMo-s
7,1,qm,115,1671,3189,6657,3598,2485,56,48,3,1,https://www.youtube.com/watch/Gm809ag1Fr4
8,2,sf,973,1323,5817,3255,2543,100,139,45,0,0,https://www.youtube.com/watch/DNMYldtUNAQ
9,2,qm,2543,1661,973,5274,3257,1422,92,64,3,1,https://www.youtube.com/watch/19HQsoXRCbk
10,2,sf,3970,5940,1266,2073,1671,3189,106,45,0,0,https://www.youtube.com/watch/jKKtZNA0THo
11,2,qf,2073,1671,3189,253,3257,6657,82,64,0,0,https://www.youtube.com/watch/lLNQT04KXYA
12,2,qf,973,1323,5817,4010,6619,115,181,0,0,0,https://www.youtube.com/watch/TjTXFYWCON4
13,2,f,973,1323,5817,3970,5940,1266,155,110,0,0,https://www.youtube.com/watch/9P5LDqLQswg
14,2,qf,3512,5274,3598,3255,2543,100,58,79,0,0,https://www.youtube.com/watch/setOIkF5tWU
15,2,qf,3970,5940,1266,2485,7539,4135,149,45,0,0,https://www.youtube.com/watch/Ip_F-Fz2M5M
16,3,qm,6305,4010,5924,1323,1280,6711,45,107,1,4,https://www.youtube.com/watch/ZNkd888yT5M
17,4,qm,2073,5940,100,4135,1266,7539,116,49,4,0,https://www.youtube.com/watch/bQXL9xeYcHo
18,5,qm,5817,253,8768,6619,3512,3970,50,90,0,4,https://www.youtube.com/watch/ZQbPDLNMBmk
19,6,qm,2485,7528,1422,3255,3598,5274,35,52,0,2,https://www.youtube.com/watch/knt0z4qY7G8
20,7,qm,1323,5940,4010,3257,6657,1671,158,33,4,0,https://www.youtube.com/watch/LSqbTsJVNG0
21,8,qm,115,2543,7539,1280,3512,1661,67,20,3,0,https://www.youtube.com/watch/mFLc3G2Y7Os
22,9,qm,3255,253,4135,6711,973,1266,62,93,0,3,https://www.youtube.com/watch/Xws17SCtwK0
23,10,qm,2073,3189,3970,5924,8768,6619,73,17,4,0,https://www.youtube.com/watch/RBMo5b5ZIoY
24,11,qm,100,7528,1661,6305,5817,1671,42,53,0,3,https://www.youtube.com/watch/UYTIB8tXf7k
25,12,qm,1266,3512,1323,3255,115,2485,142,68,4,1,https://www.youtube.com/watch/4klwbyL9_Dc
26,13,qm,973,3598,6619,6657,2543,2073,104,69,3,1,https://www.youtube.com/watch/NhsDJRa2QIw
27,14,qm,4010,5274,4135,1422,6305,3970,71,47,3,0,https://www.youtube.com/watch/0ViCUI5mU0c
28,15,qm,6711,5817,3189,253,8768,5940,50,88,0,3,https://www.youtube.com/watch/f8Cs7Ie4Fgo
29,16,qm,100,1280,3257,7539,7528,5924,61,36,3,1,https://www.youtube.com/watch/qW_95bdofOo
30,17,qm,973,1323,2073,4135,3255,1661,165,63,4,0,https://www.youtube.com/watch/8rYDpmTblSk
31,18,qm,3512,1422,2543,4010,3970,1671,66,68,1,3,https://www.youtube.com/watch/OYXjmxNF3R4
32,19,qm,5924,2485,1280,1266,6657,8768,57,28,2,0,https://www.youtube.com/watch/95oYIhfCOFs
33,20,qm,115,253,6619,7528,3189,5274,40,34,2,0,https://www.youtube.com/watch/vzfakz-JpLg
34,21,qm,6711,6305,3598,7539,3257,5817,32,35,0,3,https://www.youtube.com/watch/Mx4xJZT5FwM
35,22,qm,2485,100,1266,5940,1422,3512,69,71,1,3,https://www.youtube.com/watch/sAXcB6YaZ4k
36,23,qm,3970,4135,115,4010,3255,6657,58,47,3,0,https://www.youtube.com/watch/nZ68Zbn5VGI
37,24,qm,6619,7528,6305,8768,3189,973,34,98,0,4,https://www.youtube.com/watch/Cnc3kdLeLxQ
38,25,qm,1323,5924,3257,100,5817,3598,145,36,4,1,https://www.youtube.com/watch/Jl1Wc8-T5vo
39,26,qm,7539,6711,253,5274,1661,5940,43,55,0,2,https://www.youtube.com/watch/TOwMhCSKBmc
40,27,qm,115,2543,1280,1671,6619,2073,56,69,0,3,https://www.youtube.com/watch/6fNfgzpyZSw
41,28,qm,7528,4010,973,8768,3512,100,122,45,4,1,https://www.youtube.com/watch/g0MMN4AeNXA
42,29,qm,5817,6305,7539,5940,3970,2485,44,120,1,4,https://www.youtube.com/watch/oxNm85__7xQ
43,30,qm,5274,1323,2543,3598,3189,5924,109,58,4,1,https://www.youtube.com/watch/c-UfUfsnT6c
44,31,qm,3255,1280,1266,2073,1661,3257,59,83,1,4,https://www.youtube.com/watch/ka9aMu6eRgY
45,32,qm,6711,1671,253,1422,6657,4135,50,43,2,0,https://www.youtube.com/watch/W_St30LSbD8
46,33,qm,3189,7539,5940,4010,2543,7528,115,82,4,2,https://www.youtube.com/watch/VKsCp2xttcQ
47,34,qm,3598,3970,6305,973,5924,3255,62,117,1,3,https://www.youtube.com/watch/pY6VPiLx-EU
48,35,qm,1266,5274,1671,3257,2485,5817,76,62,4,1,https://www.youtube.com/watch/eQKft3_wxQs
49,36,qm,253,6657,100,1661,6619,1323,46,112,0,4,https://www.youtube.com/watch/ytZKVKRyYF8
50,37,qm,1280,8768,2073,115,1422,6711,54,28,2,0,https://www.youtube.com/watch/1m4dajBhTOs
51,38,qm,4135,1671,7528,3512,1266,3598,48,65,0,2,https://www.youtube.com/watch/pOZxQZRvYJY
52,39,qm,1661,5924,3255,2543,6619,5940,57,66,0,3,https://www.youtube.com/watch/bV1L9gz2ysA
53,40,qm,3257,6711,8768,1323,2485,3189,28,119,0,4,https://www.youtube.com/watch/A3EcWnpuqhM
54,41,qm,3970,5817,5274,2073,4135,1280,69,49,3,0,https://www.youtube.com/watch/frOrBBUVyJk
55,42,qm,6657,6305,973,100,4010,253,95,42,4,0,https://www.youtube.com/watch/PcisTMq4Uqk
56,43,qm,7539,1422,5924,3512,115,7528,50,62,1,3,https://www.youtube.com/watch/AAXAmEDLCCY
57,44,qm,2543,3255,3970,3189,1280,5817,83,21,4,0,https://www.youtube.com/watch/TIIkb9wniK4
58,45,qm,3598,2485,8768,3257,253,6305,57,65,1,4,https://www.youtube.com/watch/_johgCuVX5w
59,46,qm,6619,1266,1422,7539,1323,1671,19,101,0,4,https://www.youtube.com/watch/9K3yDx7kJEM
60,47,qm,5274,100,973,4135,5940,6711,105,96,4,2,https://www.youtube.com/watch/o2DOgjtEWks
