,match,level,r1,r2,r3,b1,b2,b3,red score,blue score,red rp,blue rp,video
0,1,f,1678,254,7419,604,971,8404,147,116,0,0,https://www.youtube.com/watch/vEqqGmjfwg0
1,1,qf,1678,254,7419,7415,3482,1351,179,37,0,0,https://www.youtube.com/watch/xG_26LQUDes
2,1,sf,1678,254,7419,5507,5419,8262,158,101,0,0,https://www.youtube.com/watch/lekv1Zu0uk8
3,1,qf,8033,4255,840,5507,5419,8262,83,59,0,0,https://www.youtube.com/watch/3NfjDh-j-Hw
4,1,sf,604,971,8404,972,649,766,122,104,0,0,https://www.youtube.com/watch/qQiRAMy60aI
5,1,qf,604,971,8404,670,6238,841,91,60,0,0,https://www.youtube.com/watch/P0-cZ2RLeBc
6,1,qm,192,701,2035,751,4669,1967,26,43,0,3,https://www.youtube.com/watch/_keLQqD_H9w
7,1,qf,1072,5171,3045,972,649,766,81,95,0,0,https://www.youtube.com/watch/NHu4Qdf891Y
8,2,sf,1678,254,7419,5507,5419,8262,139,106,0,0,https://www.youtube.com/watch/8pqP-f-0DFI
9,2,qm,604,2141,668,299,971,5419,54,98,1,4,https://www.youtube.com/watch/vmmnnXW4eAA
10,2,qf,1072,192,3045,972,649,766,54,118,0,0,https://www.youtube.com/watch/YKm2h0HW5s8
11,2,sf,604,971,8404,972,649,766,117,112,0,0,https://www.youtube.com/watch/9YvWLfBPCBs
12,2,qf,604,971,8404,670,6238,841,97,97,0,0,https://www.youtube.com/watch/6bxbYN44KII
13,2,qf,1678,254,7419,7415,3482,1351,167,49,0,0,https://www.youtube.com/watch/43mZVEUbAdI
14,2,f,1678,254,7419,604,971,8404,144,124,0,0,https://www.youtube.com/watch/jVa3c2F-nWk
15,2,qf,8033,4255,840,5507,5419,8262,56,65,0,0,https://www.youtube.com/watch/2F-vB4qXlU8
16,3,qf,604,971,8404,670,6238,841,95,46,0,0,https://www.youtube.com/watch/LNJxm4UmVsM
17,3,qm,7777,7413,1072,4973,8048,7415,79,25,3,0,https://www.youtube.com/watch/Fa4KD3VDgOQ
18,3,qf,8033,4255,840,5507,5419,8262,83,83,0,0,https://www.youtube.com/watch/fb8dnL5n8xQ
19,4,qm,4990,6918,6814,649,3045,5171,38,71,0,3,https://www.youtube.com/watch/UX_Ki_IRJ6M
20,5,qm,840,4091,581,5507,670,6418,24,73,0,4,https://www.youtube.com/watch/_N4NpBw_f1M
21,6,qm,6238,2643,2489,4171,4186,8262,45,46,0,2,https://www.youtube.com/watch/-xyiId4krYE
22,7,qm,5458,5027,4255,852,7419,2367,50,46,2,0,https://www.youtube.com/watch/ICbJ8q-LQMI
23,8,qm,766,972,6884,2144,8033,1678,49,81,0,4,https://www.youtube.com/watch/pqmR24OZUfQ
