,match,team,"team color","mobility","ground pick-up",locations,"game piece","auto count","auto climb","end climb","climb time","break time","defense time","drive skill","defense skill",speed,stability,"intake consistency",scouter,comments
0,1,8768,red,TRUE,FALSE,"[]","[]",0,0,2,7,0,92,3,3,3,4,0,"24ronaldc (1072)","solid defense bot\nseems to have ground intake but only played defense\nskilled driver"
1,1,3189,blue,FALSE,TRUE,"[2]","['b']",0,0,1,3,23,0,0,0,2,2,0,"26brennar (1072)",""
2,1,8768,red,TRUE,FALSE,"[18]","['b']",1,0,2,0,0,0,2,2,4,3,0,"milena (6662)",""
3,1,100,red,FALSE,FALSE,"[5, 24]","['b', 'y']",1,0,0,0,0,0,3,1,3,3,1,"thomas j. (6662)","Stopped moving towards the end of the match and couldn’t score. "
4,1,5817,blue,FALSE,FALSE,"[20, 21, 19]","['m', 'm', 'y']",0,0,0,0,0,0,2,0,2,2,0,"26benjaminx (1072)","dropped pieces"
5,1,2551,red,TRUE,FALSE,"[2, 1, 1, 1, 21, 3, 19, 20, 12]","['b', 'm', 'm', 'y', 'y', 'y', 'y', 'y', 'm']",1,1,2,6,0,0,2,1,3,1,2,"25atharvg (1072)","Intake can pick cones up but it keeps dropping them right before it places they on the poles."
6,1,2551,red,TRUE,FALSE,"[2, 1, 1, 1, 21, 3, 19, 20, 12]","['b', 'm', 'm', 'y', 'y', 'y', 'y', 'y', 'm']",1,1,2,6,0,0,2,1,3,1,2,"25atharvg (1072)",""
7,1,100,red,FALSE,FALSE,"[5, 26, 24]","['b', 'b', 'y']",1,0,0,0,59,0,2,1,2,3,0,"24brindhac (1072)","switched to pushing pieces into level 1 when intake wasn’t working. drivetrain broke later. auton level 3 score looked stable. dropped a cone and don’t have/didn’t use ground intake"
8,1,3189,blue,FALSE,FALSE,"[5]","['b']",1,0,1,0,0,0,2,1,1,3,0,"griffinc (6662)","Was not able to pick up any game pieces besides the one they started with"
9,1,1b,unknown,FALSE,FALSE,"[19]","['y']",0,0,1,7,4,16,3,2,2,2,1,"abbie s. (1072)","fair stable but bc of the suction, they kept dropping the cones when they wobble even a little bit "
10,2,8033,blue,TRUE,FALSE,"[9, 26, 25, 27, 27, 24, 32]","['y', 'b', 'b', 'b', 'm', 'b', 'b']",1,0,0,0,22,0,2,1,2,2,3,"abbie s. (1072)",""
11,2,9202,blue,FALSE,FALSE,"[]","[]",0,0,0,0,131,0,0,0,0,0,0,"26brennar (1072)",""
12,2,670,red,FALSE,FALSE,"[]","[]",0,0,2,4,0,96,2,1,2,1,0,"25atharvg (1072)","670 just played defense the entire time but they’re pretty bad at it considering that they just kept getting rammed all over the place by the other alliance."
13,2,1148,red,FALSE,TRUE,"[17, 18, 8, 14]","['b', 'y', 'b', 'y']",0,0,2,0,0,0,1,0,2,3,0,"24ronaldc (1072)","low inteke consistency\n\nspent a minute trying to pick up a cube\n"
14,2,973,blue,TRUE,TRUE,"[24, 25, 26, 9, 8, 7, 5, 11, 12]","['y', 'y', 'b', 'b', 'b', 'b', 'b', 'b', 'y']",1,2,2,0,0,0,3,0,3,3,3,"26benjaminx (1072)","able to move quickly around defense bots "
15,2,670,red,FALSE,FALSE,"[]","[]",0,0,2,8,0,89,2,3,1,3,0,"26alberty (1072)","- westcoast bot\n- not the fastest\n- does defense, not too good however\n- bodied by 973 which was faster a lot of times\n- seems to have an arm/produding contraption, doesn't seem to work however\n- didn't tip over, seems to be relatively stable (not fast)\n- didn't score a single point\n- can dock however in tele\n"
16,2,8048,red,TRUE,FALSE,"[32, 21, 22, 32, 32]","['b', 'b', 'b', 'b', 'm']",1,2,0,0,5,3,1,2,2,4,3,"24brindhac (1072)","spent some time in the middle waiting to defend or breaking? drive pretty well with no defense. alright at defending"
17,2,8048,red,TRUE,FALSE,"[32, 17, 21, 22, 24]","['b', 'b', 'b', 'b', 'b']",1,2,0,0,0,1,2,0,2,3,3,"griffinc (6662)","Driving seemed jittery, had a period of ~10-15 seconds where it was up against a wall and having trouble getting out."
18,3,1072,red,TRUE,FALSE,"[5, 2, 7, 14, 15]","['b', 'b', 'y', 'y', 'y']",1,1,2,0,0,0,2,0,2,1,1,"24ronaldc (1072)","maybe ops is better than tech\n\ncould use more robust driving\n"
19,3,4400,blue,FALSE,FALSE,"[16, 21, 19, 27]","['b', 'b', 'b', 'b']",0,0,0,0,0,0,3,1,3,2,4,"hunter (6918)","Overall solid team"
20,3,2473,blue,TRUE,TRUE,"[16, 13]","['y', 'm']",0,0,1,0,12,0,1,0,1,2,1,"26brennar (1072)",""
21,3,1422,red,FALSE,FALSE,"[]","[]",0,0,0,0,82,0,0,0,0,0,0,"24brindhac (1072)","did nothing. didn’t line up for match in time, delayed start"
22,3,840,blue,FALSE,TRUE,"[9, 18, 16]","['b', 'y', 'y']",1,0,0,0,0,0,1,0,1,0,0,"26benjaminx (1072)","couldn't pick up cubes"
23,3,4738,red,TRUE,FALSE,"[1, 19, 21, 22, 24, 20, 3, 25, 26]","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y']",1,0,2,5,0,0,3,1,3,2,3,"25atharvg (1072)","They clearly have the ability to put cones on the top row, but they prefer the bottom row for some reason."
24,3,4400,blue,FALSE,FALSE,"[6, 1, 6, 32, 20, 3]","['b', 'b', 'b', 'm', 'm', 'b']",1,2,1,2,0,0,3,0,3,2,3,"griffinc (6662)","Has to shoot to go mid or high, did not make any of the 3-4 shots that it made. Pretty fast, good intake"
25,3,840,blue,FALSE,TRUE,"[9, 18, 16]","['b', 'y', 'y']",1,0,0,0,0,0,2,0,2,3,2,"26alberty (1072)","- pretty slow bot overall\n- takes pretty long to score, kinda inconsistent\n- maybe not worth picking\n- ground intake inconsitent, the upper intake also takes time to get in"
26,4,8262,red,FALSE,FALSE,"[]","[]",0,0,0,0,0,0,0,0,0,0,0,"mchur (6662)","Did not participate"
